username,date,post,location,hashtags,sentiment,engagement
diane89,2024-06-03,Sunsets in Tokyo hit different 🌅,Tokyo,#travelgram,Negative,4129
rachel85,2025-04-11,Backpacking through Paris has been a dream come true!,Paris,#wanderlust,Neutral,6097
robert65,2024-10-09,Exploring the beauty of Manali! 🧳,Manali,"#naturelovers, #travelgram, #vacationvibes",Positive,4881
annalewis,2025-02-08,Exploring the beauty of Manali! 🧳,Manali,"#wanderlust, #travelgram, #naturelovers",Neutral,4244
michael77,2024-04-28,Backpacking through Bali has been a dream come true!,Bali,"#naturelovers, #wanderlust, #travelgram",Neutral,4266
barbertonya,2024-09-29,Backpacking through Cape Town has been a dream come true!,Cape Town,#vacationvibes,Positive,9579
holmesvictoria,2024-02-14,Can't get enough of Dharamshala 😍 #wanderlust,Dharamshala,"#travel2025, #vacationvibes",Positive,1585
evansjeffrey,2025-04-19,Can't get enough of Rome 😍 #wanderlust,Rome,"#travel2025, #naturelovers",Positive,3005
andrew48,2024-07-26,Exploring the beauty of New York! 🧳,New York,"#travel2025, #naturelovers",Neutral,3127
clintonstevens,2023-10-24,Can't get enough of Santorini 😍 #wanderlust,Santorini,#vacationvibes,Positive,6644
josephpreston,2024-01-05,Backpacking through Santorini has been a dream come true!,Santorini,#wanderlust,Neutral,389
jonathanevans,2024-09-10,Exploring the beauty of Santorini! 🧳,Santorini,"#wanderlust, #travel2025, #naturelovers",Neutral,9874
ncarroll,2025-01-15,Exploring the beauty of Bali! 🧳,Bali,#naturelovers,Neutral,1442
cummingslaura,2023-11-06,Can't get enough of Paris 😍 #wanderlust,Paris,"#naturelovers, #vacationvibes",Neutral,7896
spetersen,2024-12-21,Can't get enough of Tokyo 😍 #wanderlust,Tokyo,#naturelovers,Neutral,2066
larsonkevin,2025-01-12,Exploring the beauty of Bali! 🧳,Bali,#naturelovers,Positive,6854
dmiller,2025-06-10,Exploring the beauty of Tokyo! 🧳,Tokyo,#wanderlust,Positive,5838
michael66,2025-06-16,Can't get enough of New York 😍 #wanderlust,New York,"#vacationvibes, #wanderlust, #travel2025",Positive,1716
kanejeremy,2024-11-13,Sunsets in New York hit different 🌅,New York,#naturelovers,Positive,1439
walterscrystal,2023-08-06,Backpacking through Bali has been a dream come true!,Bali,#travel2025,Positive,3021
alice58,2024-09-05,Can't get enough of Dharamshala 😍 #wanderlust,Dharamshala,"#travelgram, #naturelovers, #travel2025",Negative,8229
markwolfe,2023-10-21,Sunsets in Manali hit different 🌅,Manali,"#wanderlust, #naturelovers, #vacationvibes",Neutral,2471
nunezwendy,2024-06-05,Dharamshala is calling... and I must go ✈️,Dharamshala,"#vacationvibes, #wanderlust, #naturelovers",Positive,4612
walkerkeith,2024-04-26,Exploring the beauty of Tokyo! 🧳,Tokyo,"#travel2025, #naturelovers",Neutral,8147
davidmiller,2024-09-10,Dharamshala is calling... and I must go ✈️,Dharamshala,"#vacationvibes, #travelgram, #wanderlust",Neutral,4078
kelleyjose,2024-04-29,Dharamshala is calling... and I must go ✈️,Dharamshala,"#vacationvibes, #naturelovers, #travelgram",Positive,1419
iayala,2025-02-05,Cape Town is calling... and I must go ✈️,Cape Town,"#naturelovers, #travel2025, #travelgram",Positive,3380
timothygonzalez,2024-04-27,Sunsets in Bali hit different 🌅,Bali,"#vacationvibes, #travel2025, #wanderlust",Positive,2333
annshea,2024-08-05,New York is calling... and I must go ✈️,New York,#naturelovers,Negative,4023
johnadams,2024-05-24,Can't get enough of Paris 😍 #wanderlust,Paris,#travel2025,Positive,2394
gail91,2023-09-20,Exploring the beauty of Dharamshala! 🧳,Dharamshala,"#vacationvibes, #travelgram, #wanderlust",Neutral,1258
whenderson,2023-11-19,Backpacking through Rome has been a dream come true!,Rome,#wanderlust,Positive,4064
melvin04,2023-11-03,Exploring the beauty of Santorini! 🧳,Santorini,"#vacationvibes, #travel2025, #wanderlust",Positive,8691
christina79,2023-10-16,New York is calling... and I must go ✈️,New York,"#travelgram, #vacationvibes",Neutral,4748
owilliams,2023-11-27,Can't get enough of Santorini 😍 #wanderlust,Santorini,#wanderlust,Neutral,2677
eric11,2025-01-19,Bali is calling... and I must go ✈️,Bali,"#vacationvibes, #travelgram",Negative,3774
sanchezchristine,2023-10-17,Can't get enough of Dharamshala 😍 #wanderlust,Dharamshala,"#wanderlust, #vacationvibes",Negative,3521
alexander14,2024-06-08,Backpacking through Dharamshala has been a dream come true!,Dharamshala,#travel2025,Positive,9213
njohnson,2025-01-19,Exploring the beauty of Cape Town! 🧳,Cape Town,"#vacationvibes, #naturelovers, #travel2025",Neutral,6283
jamesmills,2024-01-11,Exploring the beauty of Tokyo! 🧳,Tokyo,"#vacationvibes, #travel2025",Positive,5992
jdean,2024-12-15,Sunsets in Cape Town hit different 🌅,Cape Town,#travel2025,Positive,1120
bennettrebecca,2024-08-07,Backpacking through Paris has been a dream come true!,Paris,#travelgram,Positive,580
scottbrian,2023-11-27,Sunsets in Paris hit different 🌅,Paris,#naturelovers,Positive,7976
brian01,2024-04-21,Exploring the beauty of Bali! 🧳,Bali,"#wanderlust, #travelgram",Positive,4676
elizabeth51,2023-07-09,Backpacking through Dharamshala has been a dream come true!,Dharamshala,#travelgram,Neutral,2172
michelle63,2024-04-15,Sunsets in Santorini hit different 🌅,Santorini,"#naturelovers, #wanderlust",Positive,438
mckeetodd,2024-09-30,Cape Town is calling... and I must go ✈️,Cape Town,"#naturelovers, #wanderlust",Positive,7637
lopezvincent,2024-06-14,Exploring the beauty of Santorini! 🧳,Santorini,"#travel2025, #naturelovers, #travelgram",Neutral,2688
williamssandra,2024-02-16,Backpacking through Amsterdam has been a dream come true!,Amsterdam,"#naturelovers, #travelgram, #travel2025",Neutral,5953
tracy20,2024-03-20,Cape Town is calling... and I must go ✈️,Cape Town,#vacationvibes,Positive,9993
michael43,2024-07-18,Can't get enough of Santorini 😍 #wanderlust,Santorini,"#vacationvibes, #wanderlust, #naturelovers",Positive,9014
lisa46,2025-05-16,Santorini is calling... and I must go ✈️,Santorini,#vacationvibes,Positive,2695
raymondstacy,2023-12-17,Sunsets in Santorini hit different 🌅,Santorini,"#travelgram, #naturelovers, #wanderlust",Positive,7598
matthewlong,2023-10-09,New York is calling... and I must go ✈️,New York,"#vacationvibes, #travel2025",Negative,8049
blairabigail,2024-12-02,Sunsets in Bali hit different 🌅,Bali,"#vacationvibes, #naturelovers",Negative,2163
robertberry,2024-05-21,Sunsets in Rome hit different 🌅,Rome,"#naturelovers, #travelgram, #travel2025",Positive,7424
@wander.jane,2024-08-19,Exploring the beauty of New York! 🧳,New York,"#wanderlust, #travel2025, #travelgram",Neutral,4812
jamietaylor,2024-08-18,Can't get enough of Dharamshala 😍 #wanderlust,Dharamshala,"#vacationvibes, #wanderlust, #naturelovers",Positive,1581
michelleparker,2024-12-23,Manali is calling... and I must go ✈️,Manali,"#naturelovers, #vacationvibes",Positive,1825
russellstout,2025-02-12,Dharamshala is calling... and I must go ✈️,Dharamshala,#vacationvibes,Positive,9951
dianacunningham,2023-10-25,Can't get enough of Rome 😍 #wanderlust,Rome,"#vacationvibes, #wanderlust, #travel2025",Positive,7749
carlos81,2023-11-15,Can't get enough of Tokyo 😍 #wanderlust,Tokyo,"#naturelovers, #wanderlust",Negative,1072
@vibecheck_travel,2025-02-08,Manali is calling... and I must go ✈️,Manali,"#travel2025, #wanderlust",Positive,4471
nicole66,2024-02-15,Can't get enough of New York 😍 #wanderlust,New York,#travel2025,Positive,4937
oreese,2025-06-18,Rome is calling... and I must go ✈️,Rome,"#travel2025, #travelgram, #wanderlust",Neutral,7071
edwin31,2023-10-05,Sunsets in Manali hit different 🌅,Manali,#travel2025,Positive,7840
anthonyodom,2024-10-16,Can't get enough of Amsterdam 😍 #wanderlust,Amsterdam,"#vacationvibes, #travelgram, #naturelovers",Positive,9239
catherine93,2024-09-30,Can't get enough of Cape Town 😍 #wanderlust,Cape Town,#naturelovers,Neutral,5235
jerryjohnson,2023-08-25,Can't get enough of Bali 😍 #wanderlust,Bali,"#travel2025, #vacationvibes",Negative,6708
manderson,2024-06-23,Backpacking through New York has been a dream come true!,New York,"#wanderlust, #vacationvibes, #naturelovers",Neutral,9526
jack67,2024-06-27,Exploring the beauty of Santorini! 🧳,Santorini,#travel2025,Positive,2771
frankperez,2024-05-07,Cape Town is calling... and I must go ✈️,Cape Town,#travelgram,Positive,9500
schaeferstephanie,2023-12-14,Sunsets in Bali hit different 🌅,Bali,"#wanderlust, #travelgram",Negative,2093
katherinejones,2025-06-14,Rome is calling... and I must go ✈️,Rome,"#vacationvibes, #travelgram",Positive,8621
fcamacho,2024-12-10,Exploring the beauty of Manali! 🧳,Manali,#vacationvibes,Positive,9796
michelle36,2024-05-04,Backpacking through Tokyo has been a dream come true!,Tokyo,"#vacationvibes, #travelgram",Neutral,7217
franklinmadison,2025-01-04,Backpacking through New York has been a dream come true!,New York,#wanderlust,Neutral,319
phillip99,2024-08-14,Cape Town is calling... and I must go ✈️,Cape Town,#vacationvibes,Neutral,8974
meyershannon,2025-03-28,Santorini is calling... and I must go ✈️,Santorini,"#naturelovers, #wanderlust, #travelgram",Positive,3701
richjohn,2024-08-15,Backpacking through Rome has been a dream come true!,Rome,"#wanderlust, #travel2025",Negative,5794
cterrell,2024-08-31,Rome is calling... and I must go ✈️,Rome,"#vacationvibes, #wanderlust, #travel2025",Neutral,4434
oblack,2023-08-02,Sunsets in New York hit different 🌅,New York,"#travel2025, #wanderlust",Negative,304
kellysanders,2024-02-16,Can't get enough of Bali 😍 #wanderlust,Bali,"#naturelovers, #travelgram",Positive,7095
steven64,2024-10-13,Backpacking through Paris has been a dream come true!,Paris,"#travel2025, #vacationvibes",Neutral,9517
vaughnrebecca,2024-06-19,Can't get enough of Dharamshala 😍 #wanderlust,Dharamshala,"#vacationvibes, #travel2025, #naturelovers",Negative,7216
gdavis,2023-09-20,Exploring the beauty of Paris! 🧳,Paris,"#travel2025, #wanderlust, #travelgram",Positive,4313
kimberlypace,2024-12-16,Can't get enough of Amsterdam 😍 #wanderlust,Amsterdam,"#travel2025, #wanderlust",Positive,9770
phillipmorris,2023-07-14,Exploring the beauty of Tokyo! 🧳,Tokyo,"#naturelovers, #wanderlust, #travelgram",Positive,2188
shawnmosley,2025-05-20,Sunsets in Rome hit different 🌅,Rome,#travel2025,Neutral,3225
nicoledavis,2024-03-02,Can't get enough of Amsterdam 😍 #wanderlust,Amsterdam,"#vacationvibes, #travelgram, #naturelovers",Positive,2405
jennifermartinez,2023-09-21,Backpacking through Bali has been a dream come true!,Bali,#wanderlust,Positive,1804
fwalters,2024-08-04,Sunsets in Tokyo hit different 🌅,Tokyo,"#travel2025, #wanderlust",Positive,3457
gacosta,2024-10-12,Exploring the beauty of Dharamshala! 🧳,Dharamshala,"#wanderlust, #vacationvibes",Positive,1300
nicholasjames,2025-02-10,Paris is calling... and I must go ✈️,Paris,"#travelgram, #vacationvibes",Neutral,216
rhondacunningham,2024-11-18,Backpacking through Tokyo has been a dream come true!,Tokyo,"#naturelovers, #wanderlust, #vacationvibes",Negative,7978
fernandothomas,2025-02-11,Backpacking through Cape Town has been a dream come true!,Cape Town,"#wanderlust, #travel2025, #travelgram",Neutral,3209
barneskyle,2025-02-11,Exploring the beauty of Cape Town! 🧳,Cape Town,"#wanderlust, #travel2025, #naturelovers",Negative,3604
lroberts,2023-09-24,Sunsets in Bali hit different 🌅,Bali,#travel2025,Positive,2123
susansmith,2025-02-08,Sunsets in New York hit different 🌅,New York,"#travel2025, #wanderlust",Positive,4872
alexander77,2024-08-20,Rome is calling... and I must go ✈️,Rome,"#naturelovers, #vacationvibes",Negative,3292
franklintrevor,2023-12-10,New York is calling... and I must go ✈️,New York,#naturelovers,Neutral,2764
cchavez,2023-08-25,Paris is calling... and I must go ✈️,Paris,"#vacationvibes, #naturelovers",Positive,5272
sanchezamy,2024-10-18,Exploring the beauty of Cape Town! 🧳,Cape Town,"#vacationvibes, #naturelovers, #wanderlust",Positive,1102
brandonhernandez,2024-11-13,Can't get enough of Rome 😍 #wanderlust,Rome,#naturelovers,Positive,9944
benjamin09,2025-04-05,Sunsets in Amsterdam hit different 🌅,Amsterdam,"#wanderlust, #naturelovers",Positive,3096
mark10,2023-09-17,Can't get enough of Manali 😍 #wanderlust,Manali,#travel2025,Neutral,5201
kchaney,2024-11-28,Exploring the beauty of Santorini! 🧳,Santorini,"#wanderlust, #travelgram",Positive,5318
cheryl99,2025-02-25,Backpacking through Paris has been a dream come true!,Paris,#vacationvibes,Positive,3612
tammycurry,2024-03-30,Backpacking through Santorini has been a dream come true!,Santorini,"#naturelovers, #wanderlust",Positive,7180
daviskevin,2024-04-06,Sunsets in Manali hit different 🌅,Manali,#travel2025,Positive,816
wwilkins,2024-05-21,New York is calling... and I must go ✈️,New York,#wanderlust,Positive,9735
carterdennis,2024-12-15,Can't get enough of Dharamshala 😍 #wanderlust,Dharamshala,"#wanderlust, #travelgram, #naturelovers",Neutral,126
mark68,2023-12-04,Sunsets in Rome hit different 🌅,Rome,#vacationvibes,Positive,8692
cherylrodriguez,2025-01-11,Sunsets in Bali hit different 🌅,Bali,"#wanderlust, #naturelovers, #travel2025",Positive,4981
webbhaley,2025-06-19,Sunsets in New York hit different 🌅,New York,"#vacationvibes, #wanderlust",Positive,821
ronald54,2024-08-06,Sunsets in Dharamshala hit different 🌅,Dharamshala,"#vacationvibes, #naturelovers, #travelgram",Negative,6176
@wander.jane,2024-07-14,Exploring the beauty of Cape Town! 🧳,Cape Town,#travel2025,Positive,5339
lvasquez,2025-05-11,Can't get enough of Dharamshala 😍 #wanderlust,Dharamshala,#wanderlust,Positive,6093
jeanettekrause,2023-06-26,Exploring the beauty of Amsterdam! 🧳,Amsterdam,"#wanderlust, #travelgram, #naturelovers",Positive,1279
johnsoncolleen,2023-09-24,Sunsets in New York hit different 🌅,New York,"#naturelovers, #vacationvibes, #travel2025",Neutral,9609
laurenduarte,2024-05-11,Exploring the beauty of Rome! 🧳,Rome,#travelgram,Negative,6821
cookann,2024-11-01,Exploring the beauty of Rome! 🧳,Rome,"#naturelovers, #travel2025, #travelgram",Positive,4646
alexharris,2024-01-29,Manali is calling... and I must go ✈️,Manali,#wanderlust,Positive,1406
kristy44,2024-07-22,Backpacking through Manali has been a dream come true!,Manali,#travel2025,Neutral,8153
katie15,2024-03-16,Can't get enough of Bali 😍 #wanderlust,Bali,#travel2025,Positive,8039
nramsey,2023-07-17,Sunsets in Santorini hit different 🌅,Santorini,#naturelovers,Neutral,5184
jamesbass,2025-06-10,New York is calling... and I must go ✈️,New York,"#travel2025, #wanderlust, #vacationvibes",Positive,7462
zhendricks,2023-07-22,Backpacking through Cape Town has been a dream come true!,Cape Town,#vacationvibes,Positive,2740
timothyburton,2025-05-17,Backpacking through New York has been a dream come true!,New York,"#wanderlust, #travel2025, #vacationvibes",Negative,3991
steven60,2025-04-03,Bali is calling... and I must go ✈️,Bali,#travelgram,Positive,7466
annette58,2024-08-14,Sunsets in Manali hit different 🌅,Manali,#naturelovers,Positive,2517
clarkgina,2025-03-07,Backpacking through Dharamshala has been a dream come true!,Dharamshala,"#naturelovers, #travelgram",Positive,1652
carl24,2025-04-08,Bali is calling... and I must go ✈️,Bali,"#vacationvibes, #travel2025, #naturelovers",Positive,4570
@globetrotter77,2024-08-12,Backpacking through Amsterdam has been a dream come true!,Amsterdam,"#naturelovers, #vacationvibes",Positive,1869
ashleyprice,2024-09-29,Exploring the beauty of Paris! 🧳,Paris,#wanderlust,Positive,8768
hancockkaren,2024-12-23,Sunsets in Santorini hit different 🌅,Santorini,#naturelovers,Neutral,6487
jennifer46,2023-08-31,Can't get enough of Santorini 😍 #wanderlust,Santorini,"#travelgram, #vacationvibes, #wanderlust",Positive,4768
xwiley,2024-06-10,Sunsets in Cape Town hit different 🌅,Cape Town,"#wanderlust, #naturelovers, #vacationvibes",Positive,7861
javier42,2023-09-20,Can't get enough of New York 😍 #wanderlust,New York,#travelgram,Neutral,5492
@nomadic_joe,2024-06-03,Can't get enough of Rome 😍 #wanderlust,Rome,#vacationvibes,Positive,1311
lloydrebecca,2023-10-22,Exploring the beauty of Tokyo! 🧳,Tokyo,"#travelgram, #vacationvibes, #naturelovers",Positive,7792
matthewwebb,2025-05-03,Exploring the beauty of Santorini! 🧳,Santorini,#naturelovers,Neutral,3790
kimberly21,2025-03-24,Backpacking through Amsterdam has been a dream come true!,Amsterdam,#travel2025,Neutral,5549
jamiejohnson,2024-04-21,Rome is calling... and I must go ✈️,Rome,"#travelgram, #naturelovers, #vacationvibes",Positive,272
smithsarah,2024-12-09,Sunsets in Manali hit different 🌅,Manali,"#travelgram, #vacationvibes, #wanderlust",Positive,389
@eco.backpacker,2023-09-13,Tokyo is calling... and I must go ✈️,Tokyo,#travel2025,Positive,7106
andrew43,2024-02-29,Can't get enough of Manali 😍 #wanderlust,Manali,"#wanderlust, #travel2025, #vacationvibes",Neutral,8977
jameshill,2024-02-27,Backpacking through Rome has been a dream come true!,Rome,#travelgram,Negative,5476
rlambert,2023-10-18,Backpacking through Dharamshala has been a dream come true!,Dharamshala,"#travelgram, #naturelovers",Positive,5674
joshuasmith,2024-10-20,Exploring the beauty of Cape Town! 🧳,Cape Town,"#vacationvibes, #travelgram",Positive,8224
clarkmichael,2024-02-27,Tokyo is calling... and I must go ✈️,Tokyo,"#travel2025, #travelgram, #vacationvibes",Positive,8026
donald49,2024-01-01,Exploring the beauty of New York! 🧳,New York,"#wanderlust, #vacationvibes",Positive,9766
charlesaustin,2024-03-14,Exploring the beauty of Santorini! 🧳,Santorini,"#travelgram, #wanderlust",Positive,60
bwilliams,2024-06-24,Sunsets in Bali hit different 🌅,Bali,#travelgram,Negative,8274
rodriguezbrian,2024-05-21,Can't get enough of Amsterdam 😍 #wanderlust,Amsterdam,#travelgram,Positive,7128
mwhite,2025-05-17,Exploring the beauty of Cape Town! 🧳,Cape Town,"#travel2025, #wanderlust",Positive,6378
tjensen,2024-03-09,Dharamshala is calling... and I must go ✈️,Dharamshala,#travelgram,Negative,2889
jenniferlambert,2024-08-12,Cape Town is calling... and I must go ✈️,Cape Town,"#travelgram, #travel2025, #naturelovers",Neutral,6870
beltrankatelyn,2024-06-20,Can't get enough of Amsterdam 😍 #wanderlust,Amsterdam,"#travelgram, #wanderlust",Positive,7605
christopherlang,2024-12-18,Can't get enough of Amsterdam 😍 #wanderlust,Amsterdam,"#vacationvibes, #wanderlust",Positive,5182
tdavis,2024-12-07,Sunsets in Amsterdam hit different 🌅,Amsterdam,"#travelgram, #vacationvibes",Positive,7607
oruiz,2023-10-14,Backpacking through Bali has been a dream come true!,Bali,#vacationvibes,Positive,5004
roberta62,2024-12-19,Backpacking through Paris has been a dream come true!,Paris,"#travelgram, #travel2025, #naturelovers",Positive,4856
kristina57,2024-07-07,Bali is calling... and I must go ✈️,Bali,#vacationvibes,Neutral,8537
jonesdaniel,2024-06-30,Exploring the beauty of Rome! 🧳,Rome,#wanderlust,Positive,1803
ssingleton,2025-02-10,Backpacking through Manali has been a dream come true!,Manali,#travelgram,Positive,1047
cassandra28,2023-09-12,Backpacking through Santorini has been a dream come true!,Santorini,"#naturelovers, #wanderlust, #travelgram",Positive,8165
yroth,2023-09-16,Can't get enough of Tokyo 😍 #wanderlust,Tokyo,"#travel2025, #travelgram, #vacationvibes",Positive,155
angela14,2024-08-11,Backpacking through Rome has been a dream come true!,Rome,"#travel2025, #wanderlust, #vacationvibes",Positive,2033
@eco.backpacker,2023-12-27,Exploring the beauty of Amsterdam! 🧳,Amsterdam,#travel2025,Positive,7321
amydickson,2024-04-18,Exploring the beauty of Dharamshala! 🧳,Dharamshala,#travelgram,Positive,3899
@globetrotter77,2024-09-26,Sunsets in Amsterdam hit different 🌅,Amsterdam,"#vacationvibes, #wanderlust, #travel2025",Positive,3993
bmueller,2024-09-07,Backpacking through Tokyo has been a dream come true!,Tokyo,"#naturelovers, #travel2025, #vacationvibes",Positive,1688
amy32,2024-11-20,Cape Town is calling... and I must go ✈️,Cape Town,"#travelgram, #vacationvibes",Positive,7651
stevensonjennifer,2025-04-04,Dharamshala is calling... and I must go ✈️,Dharamshala,#wanderlust,Positive,6430
mwilson,2024-06-18,Backpacking through Bali has been a dream come true!,Bali,"#wanderlust, #vacationvibes",Positive,2332
angela72,2024-02-19,Rome is calling... and I must go ✈️,Rome,"#wanderlust, #travel2025",Positive,8294
gjones,2024-12-08,Sunsets in Paris hit different 🌅,Paris,"#naturelovers, #vacationvibes, #travelgram",Positive,5814
pmurphy,2024-11-18,Sunsets in Cape Town hit different 🌅,Cape Town,"#travel2025, #travelgram",Neutral,6504
davislisa,2025-05-14,Santorini is calling... and I must go ✈️,Santorini,"#vacationvibes, #travel2025",Positive,8658
shermandonna,2024-06-10,Can't get enough of New York 😍 #wanderlust,New York,"#travelgram, #naturelovers, #vacationvibes",Neutral,786
peter97,2023-11-23,Can't get enough of Bali 😍 #wanderlust,Bali,#wanderlust,Neutral,7855
erinstewart,2024-09-09,Can't get enough of Manali 😍 #wanderlust,Manali,"#travel2025, #wanderlust, #vacationvibes",Neutral,6932
samantha65,2023-09-02,Exploring the beauty of Santorini! 🧳,Santorini,"#travelgram, #wanderlust, #vacationvibes",Neutral,6182
carrwilliam,2025-04-13,Exploring the beauty of Cape Town! 🧳,Cape Town,#travelgram,Positive,2232
melissabrown,2025-05-24,Backpacking through Cape Town has been a dream come true!,Cape Town,#travel2025,Positive,4737
smithann,2024-03-30,Can't get enough of Paris 😍 #wanderlust,Paris,"#travel2025, #vacationvibes, #travelgram",Neutral,9587
callahanmichelle,2023-12-24,Exploring the beauty of Bali! 🧳,Bali,#wanderlust,Neutral,5941
zpark,2024-10-22,Backpacking through Dharamshala has been a dream come true!,Dharamshala,"#wanderlust, #travelgram, #naturelovers",Neutral,8703
jennifer66,2024-05-28,Can't get enough of Rome 😍 #wanderlust,Rome,#naturelovers,Neutral,5890
elainewells,2023-11-18,Backpacking through Cape Town has been a dream come true!,Cape Town,#wanderlust,Positive,1211
xbridges,2025-04-07,Exploring the beauty of Cape Town! 🧳,Cape Town,#naturelovers,Positive,3827
qmoore,2023-09-30,Backpacking through Bali has been a dream come true!,Bali,"#travelgram, #wanderlust, #vacationvibes",Neutral,4168
alexanderwong,2023-10-14,Sunsets in Dharamshala hit different 🌅,Dharamshala,#travel2025,Negative,9476
ibarrett,2023-08-29,Backpacking through Paris has been a dream come true!,Paris,"#naturelovers, #travelgram, #travel2025",Neutral,1866
dawnperry,2024-06-13,Cape Town is calling... and I must go ✈️,Cape Town,"#wanderlust, #naturelovers",Positive,5531
dhanson,2024-07-24,Can't get enough of Bali 😍 #wanderlust,Bali,#naturelovers,Neutral,1071
carnold,2024-04-18,Paris is calling... and I must go ✈️,Paris,#naturelovers,Negative,629
jeremiah69,2023-06-30,Exploring the beauty of Manali! 🧳,Manali,"#naturelovers, #wanderlust",Negative,2171
pbradford,2024-12-29,Exploring the beauty of New York! 🧳,New York,#wanderlust,Positive,5788
@globetrotter77,2024-04-05,Dharamshala is calling... and I must go ✈️,Dharamshala,"#travel2025, #wanderlust",Negative,8802
goodashley,2024-12-23,Cape Town is calling... and I must go ✈️,Cape Town,"#wanderlust, #vacationvibes, #naturelovers",Positive,2101
daniel71,2023-10-13,Dharamshala is calling... and I must go ✈️,Dharamshala,"#travel2025, #wanderlust, #naturelovers",Positive,6074
steven18,2025-05-16,Can't get enough of Manali 😍 #wanderlust,Manali,"#vacationvibes, #wanderlust",Positive,214
sanchezcrystal,2024-11-21,Paris is calling... and I must go ✈️,Paris,"#naturelovers, #wanderlust, #vacationvibes",Negative,981
@nomadic_joe,2024-09-17,Exploring the beauty of Santorini! 🧳,Santorini,#vacationvibes,Positive,9919
chloe58,2025-02-18,Sunsets in Paris hit different 🌅,Paris,#naturelovers,Positive,1308
harrisonwilliam,2024-06-23,Sunsets in Santorini hit different 🌅,Santorini,"#travel2025, #vacationvibes, #travelgram",Neutral,3659
robert44,2023-11-02,Sunsets in Rome hit different 🌅,Rome,"#naturelovers, #travelgram",Negative,4433
nealcarla,2024-02-16,Backpacking through Manali has been a dream come true!,Manali,"#wanderlust, #naturelovers, #travel2025",Negative,8016
bryan79,2023-11-03,Exploring the beauty of New York! 🧳,New York,#travel2025,Neutral,5046
douglaskelly,2025-01-17,Can't get enough of Amsterdam 😍 #wanderlust,Amsterdam,#travelgram,Neutral,637
@nomadic_joe,2024-07-21,Paris is calling... and I must go ✈️,Paris,"#vacationvibes, #wanderlust, #naturelovers",Positive,9687
yorkjoshua,2023-10-05,Sunsets in Dharamshala hit different 🌅,Dharamshala,#wanderlust,Positive,8165
joshua40,2025-01-20,Bali is calling... and I must go ✈️,Bali,"#vacationvibes, #wanderlust",Positive,7112
munozrenee,2025-01-18,Exploring the beauty of Amsterdam! 🧳,Amsterdam,"#travelgram, #wanderlust, #naturelovers",Neutral,5558
donnawood,2023-11-08,Backpacking through New York has been a dream come true!,New York,#wanderlust,Positive,7161
kimberly37,2023-11-12,Exploring the beauty of Dharamshala! 🧳,Dharamshala,#naturelovers,Positive,4759
cooperchristopher,2023-10-15,Amsterdam is calling... and I must go ✈️,Amsterdam,"#naturelovers, #travelgram",Positive,3953
marymullins,2024-05-10,Exploring the beauty of Tokyo! 🧳,Tokyo,"#travelgram, #wanderlust",Negative,4896
cyoung,2025-01-08,Backpacking through Manali has been a dream come true!,Manali,"#wanderlust, #travelgram",Positive,252
@wander.jane,2024-03-19,Sunsets in Santorini hit different 🌅,Santorini,"#travelgram, #naturelovers, #wanderlust",Positive,7692
maykarla,2023-09-23,Sunsets in Bali hit different 🌅,Bali,"#naturelovers, #travel2025",Positive,1353
jacksonraymond,2024-02-14,Backpacking through New York has been a dream come true!,New York,"#travelgram, #wanderlust, #travel2025",Positive,4574
wreese,2025-06-10,New York is calling... and I must go ✈️,New York,#travel2025,Neutral,862
noahthornton,2024-06-27,Exploring the beauty of Paris! 🧳,Paris,"#wanderlust, #travel2025, #travelgram",Positive,5249
dustin60,2024-02-04,Backpacking through Bali has been a dream come true!,Bali,"#travel2025, #wanderlust, #travelgram",Negative,314
ureyes,2024-08-09,Backpacking through Manali has been a dream come true!,Manali,"#wanderlust, #travel2025, #vacationvibes",Positive,1904
davisamanda,2024-03-25,Exploring the beauty of Amsterdam! 🧳,Amsterdam,#travel2025,Positive,6865
pbishop,2025-04-21,Santorini is calling... and I must go ✈️,Santorini,"#travel2025, #wanderlust",Positive,5538
@globetrotter77,2024-01-09,Sunsets in Dharamshala hit different 🌅,Dharamshala,"#travelgram, #wanderlust",Positive,9736
rmurray,2025-01-26,Exploring the beauty of Bali! 🧳,Bali,"#travel2025, #travelgram, #vacationvibes",Neutral,9577
jessicachapman,2023-11-23,Can't get enough of Manali 😍 #wanderlust,Manali,"#naturelovers, #wanderlust",Neutral,1335
erica25,2024-08-23,Can't get enough of Santorini 😍 #wanderlust,Santorini,"#naturelovers, #vacationvibes, #travelgram",Neutral,8696
chambersmarie,2023-07-04,Backpacking through Bali has been a dream come true!,Bali,"#naturelovers, #vacationvibes",Positive,9474
gdavis,2024-12-08,Can't get enough of New York 😍 #wanderlust,New York,"#travel2025, #travelgram",Positive,1940
ubell,2024-01-31,Paris is calling... and I must go ✈️,Paris,"#vacationvibes, #travelgram, #wanderlust",Positive,5985
james09,2023-09-04,Backpacking through Rome has been a dream come true!,Rome,#vacationvibes,Neutral,2102
maysdiane,2025-04-03,Can't get enough of Amsterdam 😍 #wanderlust,Amsterdam,"#naturelovers, #travel2025",Neutral,5646
stephanielittle,2024-12-25,Exploring the beauty of Manali! 🧳,Manali,#vacationvibes,Positive,9487
millercassandra,2024-04-12,Can't get enough of Rome 😍 #wanderlust,Rome,#vacationvibes,Positive,4365
