Date,Description,Debit (INR),Credit (INR),Balance
2025-02-25,Electricity Bill,18041.01,,-8767364.14
2025-02-25,Insurance Premium,18172.2,,-8785536.34
2025-05-14,Fuel,3779.58,,-8789315.92
2024-12-29,Amazon Purchase,15925.6,,-8805241.52
2025-04-06,Amazon Purchase,5650.18,,-8810891.7
2025-02-06,SIP Investment,7058.31,,-8817950.01
2025-03-03,Salary Credited,,17458.83,-8800491.18
2025-05-06,SIP Investment,7448.87,,-8807940.05
2025-03-26,Medical Expense,19149.71,,-8827089.76
2025-01-02,Flight Booking,6303.69,,-8833393.45
2025-03-10,Electricity Bill,5964.27,,-8839357.72
2025-06-14,Flight Booking,5641.01,,-8844998.73
2025-05-14,SIP Investment,4767.99,,-8849766.72
2025-06-21,UPI to Zomato,3394.23,,-8853160.95
2025-06-08,Flight Booking,18649.27,,-8871810.22
2025-01-06,Salary Credited,,1464.48,-8870345.74
2025-03-20,Fuel,17525.9,,-8887871.64
2025-06-01,Medical Expense,10874.56,,-8898746.2
2025-01-05,SIP Investment,18827.59,,-8917573.79
2025-05-17,SIP Investment,19412.63,,-8936986.42
2025-01-26,Electricity Bill,15160.37,,-8952146.79
2025-02-02,UPI to Zomato,3868.76,,-8956015.55
2025-02-05,Credit Card Payment,11723.86,,-8967739.41
2024-12-29,Salary Credited,,9090.27,-8958649.14
2025-05-21,Flight Booking,8743.17,,-8967392.31
2025-02-22,Insurance Premium,15659.69,,-8983052.0
2025-03-07,Electricity Bill,12908.32,,-8995960.32
2025-04-24,Salary Credited,,5839.37,-8990120.95
2025-04-06,Insurance Premium,10906.85,,-9001027.8
2025-03-26,Insurance Premium,17870.87,,-9018898.67
2025-06-05,UPI to Zomato,11154.17,,-9030052.84
2025-01-03,Credit Card Payment,19920.85,,-9049973.69
2025-05-02,Insurance Premium,19492.63,,-9069466.32
2025-02-23,SIP Investment,17446.11,,-9086912.43
2025-01-22,UPI to Zomato,5201.43,,-9092113.86
2025-01-20,Salary Credited,,3381.64,-9088732.22
2025-06-22,Credit Card Payment,7537.5,,-9096269.72
2025-01-04,SIP Investment,3694.52,,-9099964.24
2025-05-02,UPI to Zomato,12006.12,,-9111970.36
2025-02-16,SIP Investment,9442.5,,-9121412.86
2025-02-01,Electricity Bill,16767.42,,-9138180.28
2024-12-29,UPI to Zomato,10494.14,,-9148674.42
2025-03-05,Fuel,8792.79,,-9157467.21
2025-06-08,Fuel,4560.92,,-9162028.13
2025-04-17,Amazon Purchase,9502.75,,-9171530.88
2025-04-29,Salary Credited,,8569.74,-9162961.14
2025-03-14,Salary Credited,,6905.73,-9156055.41
2025-03-11,SIP Investment,11470.96,,-9167526.37
2025-01-14,Medical Expense,13239.89,,-9180766.26
2025-01-24,Amazon Purchase,13418.83,,-9194185.09
2025-02-17,Amazon Purchase,15945.61,,-9210130.7
2025-05-14,Credit Card Payment,6590.7,,-9216721.4
2025-06-23,Amazon Purchase,4360.12,,-9221081.52
2025-01-24,Amazon Purchase,7982.95,,-9229064.47
2025-05-17,Electricity Bill,6251.7,,-9235316.17
2025-01-13,Flight Booking,17786.63,,-9253102.8
2025-03-07,Insurance Premium,10274.2,,-9263377.0
2025-02-24,Medical Expense,2522.82,,-9265899.82
2025-06-11,SIP Investment,9192.01,,-9275091.83
2025-04-20,Fuel,4731.42,,-9279823.25
2025-04-21,Amazon Purchase,18615.34,,-9298438.59
2025-03-20,Flight Booking,757.09,,-9299195.68
2025-05-19,Medical Expense,3416.11,,-9302611.79
2025-01-05,Credit Card Payment,3669.33,,-9306281.12
2025-03-29,Fuel,10470.32,,-9316751.44
2025-06-15,Electricity Bill,3045.56,,-9319797.0
2025-02-15,UPI to Zomato,14019.99,,-9333816.99
2025-06-12,Fuel,4498.65,,-9338315.64
2025-02-07,Credit Card Payment,2975.12,,-9341290.76
2025-04-27,Fuel,7031.65,,-9348322.41
2025-02-17,Credit Card Payment,18035.0,,-9366357.41
2025-05-14,Amazon Purchase,10051.43,,-9376408.84
2025-06-07,Credit Card Payment,17695.96,,-9394104.8
2025-01-16,Amazon Purchase,10718.87,,-9404823.67
2025-06-19,Credit Card Payment,2603.86,,-9407427.53
2025-01-16,Salary Credited,,2296.46,-9405131.07
2025-03-21,Fuel,18303.89,,-9423434.96
2025-04-02,Salary Credited,,4894.41,-9418540.55
2025-01-03,Salary Credited,,19437.34,-9399103.21
2025-02-11,Flight Booking,5151.97,,-9404255.18
2025-02-02,Fuel,12502.43,,-9416757.61
2025-06-13,Flight Booking,8926.69,,-9425684.3
2025-05-14,Credit Card Payment,3274.66,,-9428958.96
2025-06-20,Flight Booking,5303.39,,-9434262.35
2025-05-20,Electricity Bill,16100.84,,-9450363.19
2025-01-06,UPI to Zomato,19564.55,,-9469927.74
2025-04-17,Electricity Bill,9772.63,,-9479700.37
2025-03-14,Salary Credited,,18820.7,-9460879.67
2025-03-02,SIP Investment,5580.43,,-9466460.1
2025-06-13,UPI to Zomato,12669.72,,-9479129.82
2025-03-09,Electricity Bill,1724.35,,-9480854.17
2025-05-31,Electricity Bill,10525.79,,-9491379.96
2025-01-15,Medical Expense,18107.43,,-9509487.39
2025-06-15,Flight Booking,1554.96,,-9511042.35
2025-03-29,Medical Expense,14978.63,,-9526020.98
2025-05-08,SIP Investment,8756.95,,-9534777.93
2025-06-16,Insurance Premium,7248.46,,-9542026.39
2025-05-25,Salary Credited,,3547.2,-9538479.19
2025-01-22,SIP Investment,1577.39,,-9540056.58
2025-03-16,SIP Investment,13514.55,,-9553571.13
2025-06-12,SIP Investment,10085.29,,-9563656.42
2025-03-04,Fuel,12187.9,,-9575844.32
2025-04-05,Fuel,9255.68,,-9585100.0
2025-04-07,SIP Investment,17101.82,,-9602201.82
2025-01-16,Medical Expense,19187.55,,-9621389.37
2025-04-22,SIP Investment,8370.19,,-9629759.56
2025-06-16,Electricity Bill,9053.95,,-9638813.51
2025-04-10,Amazon Purchase,5914.24,,-9644727.75
2025-04-03,Flight Booking,2693.4,,-9647421.15
2025-02-28,Electricity Bill,960.84,,-9648381.99
2025-04-30,Fuel,9089.7,,-9657471.69
2025-04-16,Amazon Purchase,11318.4,,-9668790.09
2025-02-28,Fuel,10031.46,,-9678821.55
2024-12-28,Amazon Purchase,13506.69,,-9692328.24
2025-04-01,UPI to Zomato,10739.11,,-9703067.35
2025-02-11,Insurance Premium,6143.03,,-9709210.38
2024-12-27,Salary Credited,,3282.67,-9705927.71
2025-01-10,Amazon Purchase,9513.31,,-9715441.02
2025-03-07,Insurance Premium,2100.78,,-9717541.8
2025-03-14,Fuel,9976.42,,-9727518.22
2025-06-03,Fuel,19137.25,,-9746655.47
2025-05-21,Credit Card Payment,15421.61,,-9762077.08
2025-01-07,Salary Credited,,19636.91,-9742440.17
2025-06-01,Salary Credited,,2278.84,-9740161.33
2025-06-06,Insurance Premium,12383.8,,-9752545.13
2025-06-05,Fuel,9755.33,,-9762300.46
2025-03-16,Electricity Bill,9122.17,,-9771422.63
2025-02-23,Electricity Bill,11055.54,,-9782478.17
2025-02-03,Insurance Premium,10885.36,,-9793363.53
2025-01-03,UPI to Zomato,6239.64,,-9799603.17
2025-02-18,Amazon Purchase,17595.35,,-9817198.52
2025-03-03,Amazon Purchase,16863.23,,-9834061.75
2025-01-28,Insurance Premium,18672.24,,-9852733.99
2025-01-08,SIP Investment,8164.29,,-9860898.28
2025-06-13,Insurance Premium,15050.27,,-9875948.55
2025-04-11,Flight Booking,3642.17,,-9879590.72
2025-01-11,Fuel,1428.36,,-9881019.08
2025-01-03,Salary Credited,,12325.43,-9868693.65
2025-06-12,SIP Investment,2292.33,,-9870985.98
2025-04-25,Fuel,5033.07,,-9876019.05
2025-04-26,Medical Expense,1271.3,,-9877290.35
2025-05-13,Flight Booking,13899.19,,-9891189.54
2025-04-14,Medical Expense,17574.55,,-9908764.09
2025-02-17,Amazon Purchase,14927.58,,-9923691.67
2025-06-22,Electricity Bill,17989.0,,-9941680.67
2025-05-31,Insurance Premium,2941.76,,-9944622.43
2025-04-16,UPI to Zomato,16129.48,,-9960751.91
2025-06-17,Salary Credited,,4030.55,-9956721.36
2025-05-01,Flight Booking,5556.88,,-9962278.24
2025-05-27,Fuel,11452.39,,-9973730.63
2025-03-01,Credit Card Payment,3669.39,,-9977400.02
2024-12-30,Medical Expense,8784.84,,-9986184.86
2025-03-04,Salary Credited,,10228.0,-9975956.86
2025-01-29,Medical Expense,5774.12,,-9981730.98
2025-06-04,SIP Investment,18296.91,,-10000027.89
2025-02-01,Credit Card Payment,8198.64,,-10008226.53
2025-04-20,Salary Credited,,9381.4,-9998845.13
2025-03-05,Insurance Premium,8504.08,,-10007349.21
2025-04-01,Medical Expense,6971.9,,-10014321.11
2025-06-05,Electricity Bill,14950.22,,-10029271.33
2025-04-24,SIP Investment,4466.84,,-10033738.17
2025-03-17,Insurance Premium,5615.09,,-10039353.26
2025-05-16,UPI to Zomato,12931.61,,-10052284.87
2025-05-09,Fuel,7809.55,,-10060094.42
2025-05-24,Electricity Bill,17737.72,,-10077832.14
2025-04-10,UPI to Zomato,14248.74,,-10092080.88
2025-03-07,Medical Expense,10732.75,,-10102813.63
2025-04-21,Credit Card Payment,18966.85,,-10121780.48
2025-01-16,Credit Card Payment,2865.99,,-10124646.47
2025-03-16,Medical Expense,13505.47,,-10138151.94
2025-02-23,Salary Credited,,11218.91,-10126933.03
2025-05-16,SIP Investment,7217.63,,-10134150.66
2025-01-03,Fuel,16339.16,,-10150489.82
2025-06-08,Credit Card Payment,7909.33,,-10158399.15
2025-06-25,Amazon Purchase,6621.99,,-10165021.14
2025-02-18,Amazon Purchase,6826.34,,-10171847.48
2025-06-04,Salary Credited,,19758.17,-10152089.31
2025-04-22,UPI to Zomato,15971.9,,-10168061.21
2025-06-06,Electricity Bill,15777.65,,-10183838.86
2025-04-16,Salary Credited,,9955.33,-10173883.53
2025-06-01,Flight Booking,12860.38,,-10186743.91
2025-05-01,Flight Booking,13271.6,,-10200015.51
2025-03-05,UPI to Zomato,2596.1,,-10202611.61
2025-06-04,Medical Expense,17766.95,,-10220378.56
2025-04-29,Electricity Bill,14263.4,,-10234641.96
2025-02-28,SIP Investment,15768.5,,-10250410.46
2025-05-17,Medical Expense,17254.25,,-10267664.71
2025-05-05,SIP Investment,15411.36,,-10283076.07
2025-01-03,Electricity Bill,14267.65,,-10297343.72
2025-01-03,Amazon Purchase,783.09,,-10298126.81
2025-06-05,Credit Card Payment,16853.69,,-10314980.5
2025-06-09,UPI to Zomato,17948.62,,-10332929.12
2025-03-03,UPI to Zomato,16079.38,,-10349008.5
2025-06-15,Flight Booking,6051.22,,-10355059.72
2025-06-02,Flight Booking,15102.26,,-10370161.98
2025-01-19,Electricity Bill,7124.03,,-10377286.01
2025-02-08,Flight Booking,11285.68,,-10388571.69
2025-06-22,Medical Expense,10728.36,,-10399300.05
2025-06-03,Medical Expense,19098.17,,-10418398.22
2025-06-01,UPI to Zomato,17917.63,,-10436315.85
2025-06-15,Salary Credited,,3355.22,-10432960.63
2025-05-11,Credit Card Payment,17164.61,,-10450125.24
2025-01-29,SIP Investment,19374.74,,-10469499.98
2025-03-21,UPI to Zomato,9146.0,,-10478645.98
2024-12-26,Insurance Premium,8442.18,,-10487088.16
2025-05-20,Electricity Bill,9894.87,,-10496983.03
2025-01-24,Electricity Bill,14636.22,,-10511619.25
2025-06-04,Amazon Purchase,4808.89,,-10516428.14
2025-04-15,Amazon Purchase,16999.43,,-10533427.57
2025-01-15,Electricity Bill,15906.26,,-10549333.83
2025-05-07,Medical Expense,9648.06,,-10558981.89
2025-01-18,Credit Card Payment,6010.57,,-10564992.46
2025-04-19,Medical Expense,13191.17,,-10578183.63
2025-01-27,Fuel,9140.08,,-10587323.71
2025-03-16,Electricity Bill,6261.66,,-10593585.37
2025-01-27,Fuel,11870.11,,-10605455.48
2025-02-04,Flight Booking,17777.73,,-10623233.21
2025-05-17,Credit Card Payment,9369.02,,-10632602.23
2025-03-16,Fuel,12089.35,,-10644691.58
2025-05-28,SIP Investment,5696.36,,-10650387.94
2025-05-24,Medical Expense,19545.96,,-10669933.9
2025-01-11,Flight Booking,8813.14,,-10678747.04
2025-01-22,Flight Booking,13355.67,,-10692102.71
2025-04-12,Insurance Premium,12704.83,,-10704807.54
2025-04-14,Electricity Bill,3435.22,,-10708242.76
2025-06-07,Salary Credited,,1416.39,-10706826.37
2025-02-16,Electricity Bill,18925.59,,-10725751.96
2025-03-23,SIP Investment,17460.0,,-10743211.96
2025-02-19,Credit Card Payment,19940.77,,-10763152.73
2025-05-14,Fuel,12328.54,,-10775481.27
2025-04-29,UPI to Zomato,17348.54,,-10792829.81
2025-01-08,SIP Investment,9533.21,,-10802363.02
2025-01-14,Fuel,18464.52,,-10820827.54
2024-12-25,Insurance Premium,10160.54,,-10830988.08
2025-05-20,Credit Card Payment,9877.54,,-10840865.62
2025-02-24,Amazon Purchase,5026.86,,-10845892.48
2025-02-03,SIP Investment,8744.75,,-10854637.23
2025-05-19,UPI to Zomato,14910.99,,-10869548.22
2025-05-28,Fuel,4974.49,,-10874522.71
2024-12-27,Salary Credited,,2334.12,-10872188.59
2025-04-16,Medical Expense,18950.38,,-10891138.97
2025-05-15,Insurance Premium,8361.82,,-10899500.79
2025-03-14,SIP Investment,5637.84,,-10905138.63
2025-05-16,Amazon Purchase,5538.96,,-10910677.59
2025-03-13,Amazon Purchase,8465.19,,-10919142.78
2025-01-31,Medical Expense,4071.73,,-10923214.51
2025-06-11,Insurance Premium,17047.09,,-10940261.6
2025-01-19,Credit Card Payment,9507.96,,-10949769.56
2025-05-26,Salary Credited,,6263.55,-10943506.01
2025-01-19,Salary Credited,,11694.02,-10931811.99
2025-04-13,Electricity Bill,5765.36,,-10937577.35
2025-01-26,Electricity Bill,18461.38,,-10956038.73
2025-01-14,Credit Card Payment,4287.31,,-10960326.04
2025-06-23,SIP Investment,8050.75,,-10968376.79
2025-05-14,Medical Expense,13422.22,,-10981799.01
2025-06-25,UPI to Zomato,6353.76,,-10988152.77
2025-04-07,Electricity Bill,9366.18,,-10997518.95
2025-03-22,Electricity Bill,3681.72,,-11001200.67
2025-04-30,Flight Booking,15515.12,,-11016715.79
2025-03-07,Flight Booking,13348.6,,-11030064.39
2025-04-22,Insurance Premium,9369.41,,-11039433.8
2025-03-17,Flight Booking,5867.53,,-11045301.33
2025-06-16,Amazon Purchase,12640.63,,-11057941.96
2025-01-28,Salary Credited,,2278.79,-11055663.17
2025-05-25,Amazon Purchase,12853.3,,-11068516.47
2025-04-15,Electricity Bill,6959.77,,-11075476.24
2025-06-11,Credit Card Payment,8422.76,,-11083899.0
2025-05-30,UPI to Zomato,13320.46,,-11097219.46
2025-03-24,Fuel,10051.93,,-11107271.39
2025-05-23,Salary Credited,,12348.39,-11094923.0
2025-04-05,UPI to Zomato,3689.09,,-11098612.09
2025-03-26,Credit Card Payment,5394.18,,-11104006.27
2025-04-28,Electricity Bill,16591.17,,-11120597.44
2025-02-06,Salary Credited,,15326.01,-11105271.43
2025-04-01,Credit Card Payment,3010.99,,-11108282.42
2025-05-01,Medical Expense,10581.15,,-11118863.57
2025-05-27,Insurance Premium,4924.54,,-11123788.11
2025-03-22,SIP Investment,3345.31,,-11127133.42
2025-03-07,Credit Card Payment,1604.82,,-11128738.24
2025-02-26,SIP Investment,15977.07,,-11144715.31
2025-06-22,Flight Booking,1110.01,,-11145825.32
2025-05-07,UPI to Zomato,1073.52,,-11146898.84
2025-02-05,Amazon Purchase,16276.76,,-11163175.6
2025-02-11,Fuel,14806.63,,-11177982.23
2025-03-27,Salary Credited,,13323.47,-11164658.76
2025-06-17,Salary Credited,,19241.99,-11145416.77
2025-06-17,Electricity Bill,11030.32,,-11156447.09
2025-06-11,UPI to Zomato,5995.67,,-11162442.76
2025-03-07,Credit Card Payment,17320.28,,-11179763.04
2025-05-16,SIP Investment,13668.96,,-11193432.0
2025-03-23,Electricity Bill,19413.14,,-11212845.14
2025-04-06,Flight Booking,7314.41,,-11220159.55
2025-03-22,Credit Card Payment,7711.3,,-11227870.85
2025-02-04,Amazon Purchase,17846.13,,-11245716.98
2025-06-18,Credit Card Payment,1013.9,,-11246730.88
2025-05-29,Electricity Bill,14387.41,,-11261118.29
2025-02-10,Insurance Premium,2615.03,,-11263733.32
2025-02-21,Insurance Premium,15941.19,,-11279674.51
2025-06-11,Salary Credited,,13391.75,-11266282.76
2025-01-26,Amazon Purchase,10151.35,,-11276434.11
2025-02-13,Amazon Purchase,3677.27,,-11280111.38
2025-01-28,Amazon Purchase,7195.15,,-11287306.53
2025-02-16,Credit Card Payment,16831.24,,-11304137.77
2025-05-29,UPI to Zomato,18117.21,,-11322254.98
2025-05-27,SIP Investment,736.22,,-11322991.2
2025-01-13,Flight Booking,4486.66,,-11327477.86
2025-05-10,Flight Booking,7404.11,,-11334881.97
2025-01-16,Insurance Premium,10189.75,,-11345071.72
2025-04-22,Electricity Bill,2646.11,,-11347717.83
2025-01-19,Flight Booking,15706.94,,-11363424.77
2025-03-24,SIP Investment,19532.24,,-11382957.01
2025-02-05,Amazon Purchase,17765.17,,-11400722.18
2025-04-09,Credit Card Payment,13502.42,,-11414224.6
2025-03-27,Flight Booking,18356.74,,-11432581.34
2025-06-25,Insurance Premium,17918.92,,-11450500.26
2025-02-28,SIP Investment,2400.61,,-11452900.87
2025-05-23,Salary Credited,,12462.64,-11440438.23
2025-02-20,Credit Card Payment,12994.5,,-11453432.73
2025-04-04,Credit Card Payment,17313.32,,-11470746.05
2025-05-02,Salary Credited,,19740.42,-11451005.63
2025-01-26,Salary Credited,,4593.87,-11446411.76
2025-04-15,Electricity Bill,12955.89,,-11459367.65
2025-02-27,UPI to Zomato,7196.13,,-11466563.78
2025-04-28,Insurance Premium,18957.67,,-11485521.45
2025-01-12,Insurance Premium,14438.41,,-11499959.86
2025-02-19,Credit Card Payment,5460.76,,-11505420.62
2025-02-22,Fuel,5297.97,,-11510718.59
2025-02-20,Amazon Purchase,12333.52,,-11523052.11
2025-03-04,Salary Credited,,15452.8,-11507599.31
2025-05-20,Electricity Bill,7349.21,,-11514948.52
2025-02-27,Fuel,6866.14,,-11521814.66
2025-03-18,Insurance Premium,7011.64,,-11528826.3
2025-05-09,Medical Expense,15775.44,,-11544601.74
2025-06-05,Insurance Premium,3723.75,,-11548325.49
2025-04-07,Medical Expense,2271.1,,-11550596.59
2025-06-20,Salary Credited,,14723.98,-11535872.61
2025-05-11,Electricity Bill,17004.4,,-11552877.01
2025-03-27,Insurance Premium,14906.86,,-11567783.87
2025-02-14,Flight Booking,18230.2,,-11586014.07
2025-01-24,UPI to Zomato,4636.06,,-11590650.13
2025-02-01,Salary Credited,,708.01,-11589942.12
2025-04-02,SIP Investment,19742.83,,-11609684.95
2025-04-18,Amazon Purchase,1487.94,,-11611172.89
2024-12-29,Insurance Premium,7226.53,,-11618399.42
2025-05-24,Electricity Bill,11999.56,,-11630398.98
2025-06-18,SIP Investment,2135.08,,-11632534.06
2025-01-03,Insurance Premium,17282.82,,-11649816.88
2024-12-30,Electricity Bill,6239.82,,-11656056.7
2025-05-06,Insurance Premium,11019.24,,-11667075.94
2024-12-31,Flight Booking,7875.59,,-11674951.53
2025-05-22,UPI to Zomato,1939.28,,-11676890.81
2025-06-20,Insurance Premium,7786.72,,-11684677.53
2025-04-21,Salary Credited,,11626.14,-11673051.39
2025-04-26,Credit Card Payment,1166.69,,-11674218.08
2024-12-27,Salary Credited,,11036.9,-11663181.18
2025-05-26,Medical Expense,5296.97,,-11668478.15
2025-06-22,Salary Credited,,18661.39,-11649816.76
2025-04-14,UPI to Zomato,4851.51,,-11654668.27
2025-03-22,Salary Credited,,14572.16,-11640096.11
2025-05-18,Credit Card Payment,2646.25,,-11642742.36
2025-04-23,Electricity Bill,18569.72,,-11661312.08
2025-03-03,Electricity Bill,958.71,,-11662270.79
2025-03-04,UPI to Zomato,10369.32,,-11672640.11
2025-03-25,Electricity Bill,10742.32,,-11683382.43
2025-04-15,Credit Card Payment,17407.09,,-11700789.52
2025-04-17,Credit Card Payment,3370.69,,-11704160.21
2025-02-09,Insurance Premium,7457.65,,-11711617.86
2025-05-22,Insurance Premium,9395.72,,-11721013.58
2025-04-26,Flight Booking,4421.76,,-11725435.34
2025-01-04,Flight Booking,11693.87,,-11737129.21
2025-01-16,Credit Card Payment,15490.51,,-11752619.72
2025-05-09,Flight Booking,19401.92,,-11772021.64
2025-02-03,UPI to Zomato,15172.19,,-11787193.83
2025-02-05,Amazon Purchase,17482.41,,-11804676.24
2025-01-23,Amazon Purchase,8769.9,,-11813446.14
2025-02-11,Credit Card Payment,11803.11,,-11825249.25
2025-03-11,Flight Booking,6752.51,,-11832001.76
2025-04-15,UPI to Zomato,6413.42,,-11838415.18
2025-03-14,Electricity Bill,3659.87,,-11842075.05
2025-05-22,Salary Credited,,5886.31,-11836188.74
2025-06-03,Insurance Premium,3339.37,,-11839528.11
2025-03-23,Flight Booking,1002.05,,-11840530.16
2025-01-19,Salary Credited,,18561.14,-11821969.02
2025-03-29,Flight Booking,1640.79,,-11823609.81
2025-04-21,Flight Booking,9531.72,,-11833141.53
2025-04-16,Amazon Purchase,19313.61,,-11852455.14
2025-02-24,Insurance Premium,19339.17,,-11871794.31
2025-03-22,Medical Expense,12223.88,,-11884018.19
2025-04-22,Credit Card Payment,13690.52,,-11897708.71
2025-04-08,UPI to Zomato,519.67,,-11898228.38
2025-05-27,Credit Card Payment,15299.02,,-11913527.4
2025-01-08,Medical Expense,12382.06,,-11925909.46
2025-02-28,Fuel,5305.63,,-11931215.09
2025-05-30,Flight Booking,1812.74,,-11933027.83
2025-03-04,Insurance Premium,13201.84,,-11946229.67
2025-05-28,Credit Card Payment,1683.84,,-11947913.51
2025-05-08,Amazon Purchase,873.53,,-11948787.04
2025-02-17,Insurance Premium,4164.01,,-11952951.05
2025-04-16,Medical Expense,5070.97,,-11958022.02
2025-05-12,UPI to Zomato,18492.84,,-11976514.86
2025-04-20,Fuel,1512.2,,-11978027.06
2025-02-22,Flight Booking,4046.56,,-11982073.62
2025-02-24,Credit Card Payment,8707.96,,-11990781.58
2025-04-06,Insurance Premium,16494.76,,-12007276.34
2025-05-26,Insurance Premium,12559.1,,-12019835.44
2025-03-06,SIP Investment,8782.14,,-12028617.58
2025-05-16,SIP Investment,1222.96,,-12029840.54
2025-05-16,Fuel,13386.17,,-12043226.71
2025-05-23,Insurance Premium,17068.21,,-12060294.92
2024-12-30,Credit Card Payment,5842.96,,-12066137.88
2025-04-09,Salary Credited,,19129.48,-12047008.4
2025-06-13,Flight Booking,6903.51,,-12053911.91
2025-01-21,Salary Credited,,14534.35,-12039377.56
2025-06-24,Fuel,514.56,,-12039892.12
2025-02-05,Flight Booking,6517.9,,-12046410.02
2025-03-08,Credit Card Payment,12312.87,,-12058722.89
2025-06-24,Credit Card Payment,19698.14,,-12078421.03
2025-01-30,Fuel,4543.37,,-12082964.4
2025-01-28,Electricity Bill,17896.09,,-12100860.49
2025-02-07,Electricity Bill,3275.11,,-12104135.6
2025-05-05,Credit Card Payment,3130.33,,-12107265.93
2025-03-17,SIP Investment,12348.76,,-12119614.69
2025-06-11,Amazon Purchase,17095.67,,-12136710.36
2025-06-10,Medical Expense,11608.24,,-12148318.6
2025-01-03,Amazon Purchase,6997.98,,-12155316.58
2025-02-25,Electricity Bill,14070.41,,-12169386.99
2025-04-25,Salary Credited,,3574.5,-12165812.49
2025-05-16,Medical Expense,18477.53,,-12184290.02
2025-01-26,Credit Card Payment,11149.91,,-12195439.93
2025-06-07,Flight Booking,16701.03,,-12212140.96
2025-01-05,UPI to Zomato,16950.54,,-12229091.5
2025-02-21,Credit Card Payment,4827.07,,-12233918.57
2025-05-04,UPI to Zomato,11206.72,,-12245125.29
2025-04-08,Electricity Bill,11328.06,,-12256453.35
2025-06-11,Medical Expense,12859.88,,-12269313.23
2025-06-07,SIP Investment,17836.2,,-12287149.43
2025-05-22,Fuel,4619.33,,-12291768.76
2025-06-17,Insurance Premium,10798.02,,-12302566.78
2025-04-21,SIP Investment,9047.37,,-12311614.15
2025-06-08,UPI to Zomato,17641.72,,-12329255.87
2025-01-02,Medical Expense,1622.75,,-12330878.62
2025-02-21,Insurance Premium,7842.35,,-12338720.97
2025-06-12,Flight Booking,10505.56,,-12349226.53
2025-03-12,Credit Card Payment,15248.23,,-12364474.76
2025-03-20,Amazon Purchase,3857.15,,-12368331.91
2025-01-18,Insurance Premium,19276.85,,-12387608.76
2025-03-16,UPI to Zomato,3561.74,,-12391170.5
2025-03-04,Electricity Bill,12368.23,,-12403538.73
2025-05-10,Fuel,12751.68,,-12416290.41
2025-05-13,SIP Investment,4941.48,,-12421231.89
2024-12-26,Salary Credited,,11533.87,-12409698.02
2025-04-30,SIP Investment,5321.27,,-12415019.29
2025-03-03,UPI to Zomato,1035.84,,-12416055.13
2025-01-21,Credit Card Payment,12559.81,,-12428614.94
2024-12-27,Fuel,11155.25,,-12439770.19
2025-06-06,Fuel,716.17,,-12440486.36
2025-02-21,Medical Expense,6141.66,,-12446628.02
2025-04-16,Fuel,11820.31,,-12458448.33
2025-02-10,Salary Credited,,18503.66,-12439944.67
2025-01-10,UPI to Zomato,19223.79,,-12459168.46
2025-06-20,UPI to Zomato,19417.53,,-12478585.99
2025-03-28,Insurance Premium,797.52,,-12479383.51
2025-01-13,Fuel,12236.6,,-12491620.11
2025-06-18,Flight Booking,19147.95,,-12510768.06
2025-06-14,SIP Investment,6282.71,,-12517050.77
2025-04-02,Credit Card Payment,10301.34,,-12527352.11
2025-04-07,Credit Card Payment,14430.97,,-12541783.08
2025-02-09,Salary Credited,,2769.31,-12539013.77
2025-06-09,Electricity Bill,545.41,,-12539559.18
2025-04-02,Medical Expense,1590.86,,-12541150.04
2025-04-18,Insurance Premium,5729.55,,-12546879.59
2025-02-20,Salary Credited,,17519.74,-12529359.85
2025-03-21,Medical Expense,4198.4,,-12533558.25
2025-03-03,Insurance Premium,13460.95,,-12547019.2
2025-03-17,Amazon Purchase,6603.25,,-12553622.45
2025-03-13,Fuel,16979.6,,-12570602.05
2025-02-21,UPI to Zomato,10896.82,,-12581498.87
2025-05-01,SIP Investment,18879.36,,-12600378.23
2025-02-06,Amazon Purchase,5156.58,,-12605534.81
2025-03-22,UPI to Zomato,3253.97,,-12608788.78
2025-03-09,Salary Credited,,16802.22,-12591986.56
2025-05-20,Amazon Purchase,7532.2,,-12599518.76
2025-04-20,Fuel,13584.4,,-12613103.16
2025-06-25,Medical Expense,7144.14,,-12620247.3
2025-04-24,Flight Booking,10016.59,,-12630263.89
2025-03-08,SIP Investment,4291.07,,-12634554.96
2025-03-20,Amazon Purchase,11991.27,,-12646546.23
2025-03-21,UPI to Zomato,11701.27,,-12658247.5
2025-03-31,Salary Credited,,1349.92,-12656897.58
2025-04-10,SIP Investment,10801.18,,-12667698.76
2025-06-16,Electricity Bill,5288.45,,-12672987.21
2025-06-12,Insurance Premium,4824.14,,-12677811.35
2025-03-13,Electricity Bill,16727.67,,-12694539.02
2024-12-29,Fuel,14123.97,,-12708662.99
2025-06-08,Flight Booking,1924.85,,-12710587.84
2025-01-26,Amazon Purchase,10868.72,,-12721456.56
2025-03-18,SIP Investment,14838.56,,-12736295.12
2025-04-16,Flight Booking,9043.78,,-12745338.9
2025-06-18,Amazon Purchase,4381.63,,-12749720.53
2025-05-24,Flight Booking,13926.32,,-12763646.85
2025-01-25,Credit Card Payment,10024.34,,-12773671.19
2025-02-04,Medical Expense,11275.85,,-12784947.04
2024-12-29,UPI to Zomato,12118.32,,-12797065.36
2025-01-05,Credit Card Payment,9109.98,,-12806175.34
2025-04-10,SIP Investment,13971.99,,-12820147.33
2025-05-08,Credit Card Payment,3328.57,,-12823475.9
